"";"name";"brewery";"beer_link";"alc";"exctract";"type";"desc";"price"
"1";"AleBrowar Be Like Mitch- But. 0,5l";"AleBrowar";"https://ipiwo.pl/produkt/alebrowar-be-like-mitch-but-05l/";"4.4";"11.6";"Pszeniczne";"Jasne, delikatne, ale i orzeŸwiaj¹ce piwo pszeniczne, przygotowane z myœl¹ o gor¹cych letnich miesi¹cach. Charakteru nadaj¹ mu aromatyczny cytrusowy chmiel. Do stworzenia etykiety inspiracj¹ by³ Mitch ze s³onecznego patrolu.";8,99
"2";"AleBrowar Boris is Boris – But. 0,5l";"AleBrowar";"https://ipiwo.pl/produkt/alebrowar-boris-is-boris-but-05l/";"10.0";"30";"Russian Imperial Stout";"Ciemne, mocne i z³o¿one w smaku piwo o zdecydowanie palonym charakterze – za te cechy RIS pozostaje ceniony na ca³ym œwiecie. W klasycznym wydaniu lub z ciekawymi dodatkami – sprawdŸ nasz¹ interpretacjê tego stylu. To idealne piwo do powolnego s¹czenia, a tak¿e podzielania siê z kimœ bliskim!";19,99
"3";"AleBrowar Bramble Rumble – But. 0,5l";"AleBrowar";"https://ipiwo.pl/produkt/alebrowar-bramble-rumble-but-05l/";"4.3";"16";"Sour";"W robocie produkujê g³ównie ha³as, wiêc s³uch ju¿ nie ten. Jeœli jednak ktoœ choæby szepnie o mleczno-kwaœno-owocowym Ale… Z sokiem z je¿yny, pomyœlanym jak indyjskie lassi, to jestem pierwszy przy barze.";11,49
"4";"AleBrowar Chill Guru CBD Edition 0,5l";"AleBrowar";"https://ipiwo.pl/produkt/alebrowar-chill-guru-cbd-edition-05l/";"4.2";NA;"IPA";"Kto ma trochê oleju w g³owie ten wie, ¿e w ¿yciu najwa¿niejszy jest chill out. Joga mo¿e i pomaga ale czasem ³upie mnie w krzy¿u i wtedy siêgam po AIPA. Z AleBrowaru warzone z olejkiem CBD. To piwo smakuje jakoœ spokojniej.";15,69
"5";"AleBrowar Chill Guru Terpenes 0,5l";"AleBrowar";"https://ipiwo.pl/produkt/alebrowar-chill-guru-terpenes-05l/";"4.2";"14";"IPA";"Chill Guru Terpenes Edytion – American India Pale Ale z olejkami terpenowymi. Olejki terpenowe to naturalne ¿ywice eteryczne, które odpowiadaj¹ za aromat oraz zdrowotne oddzia³ywanie konopi.";12,99
"6";"AleBrowar Crazy Mike- But. 0,5l";"AleBrowar";"https://ipiwo.pl/produkt/alebrowar-crazy-mike-but-05l/";"8.0";"20";"IPA";"Potê¿ne piwo, w którym solidna podbudowa s³odowa – zrównowa¿ona mocn¹ goryczk¹. Aromatu nadaje mieszanka piêciu najciekawszych odmian nowofalowego chmielu. Aromaty: ¿ywica, owoce tropikalne, a tak¿e cytrusy.";10,79
"7";"AleBrowar Free Way – But. 0,5l";"AleBrowar";"https://ipiwo.pl/produkt/alebrowar-free-way-but-05l-2/";"0.5";"6.0";"Bezalkoholowe, IPA";"Kolarze i kolarzówki, nareszcie droga jest wolna – mo¿na wype³niæ bidony aromatycznym, ale i smakowitym, bezalkoholowym IPA i cisn¹æ przed siebie.";7,98
"8";"AleBrowar Herr Axolotl Mackinac Hops 0,5l";"AleBrowar";"https://ipiwo.pl/produkt/alebrowar-herr-axolotl-mackinac-hops-05l/";"3.8";"9";"Berliner Weisse";"Herr Axolotl z chmielem Mackinac. To super aromatyczna odmiana, co ciekawe pochodz¹ca ze wschodu USA konkretnie z wyspy Mackinac na Wielkich Jeziorach. Aromaty tej odmiany to mieszkanka cytrusów, melona, papai, a tak¿e przypraw.";15,69
"9";"AleBrowar Hey Alexei – But. 0,5l";"AleBrowar";"https://ipiwo.pl/produkt/alebrowar-hey-alexei-but-05l/";"10.0";"30";"Russian Imperial Stout";"Ciemne, mocne i z³o¿one w smaku piwo o zdecydowanie palonym charakterze – za te cechy RIS pozostaje ceniony na ca³ym œwiecie. W klasycznym wydaniu, a tak¿e z ciekawymi dodatkami – sprawdŸ nasz¹ interpretacjê tego stylu. Russian Imperial Stout z Tonk¹ i Vanili¹";22,99
"10";"AleBrowar Hoppy Water- But. 0,5l";"AleBrowar";"https://ipiwo.pl/produkt/alebrowar-hoppy-water-but-05l/";"0.0";NA;"Bezalkoholowe";"No wiêc Micha³ Saks – Brewmaster pochmieli³, jak to on zwykle potrafi… ale s³odu zapomnia³ wsypaæ. Tak by³o nie zmyœlam! Przywitajcie najm³odsze dziecko w AleBrowarowej rodzinie chmieln¹ wodê -Hoppy Water.";5,99
