"";"name";"brewery";"beer_type";"alc";"blg";"fermentation";"price"
"1";"AleBrowar Be Like Mitch- But. 0,5l";"alebrowar";"pszeniczne";4,4;11,6;"top";8,99
"2";"AleBrowar Boris is Boris – But. 0,5l";"alebrowar";"stout";10;30;"top";19,99
"3";"AleBrowar Chill Guru Terpenes 0,5l";"alebrowar";"ipa";4,2;14;"top";12,99
"4";"AleBrowar Crazy Mike- But. 0,5l";"alebrowar";"ipa";8;20;"top";10,79
"5";"AleBrowar Hey Alexei – But. 0,5l";"alebrowar";"stout";10;30;"top";22,99
"6";"AleBrowar Imperial Smoky Joe 0,33l puszka";"alebrowar";"stout";9;24;"top";11,99
"7";"AleBrowar King of Hop- But. 0,5l";"alebrowar";"ale";5;12;"top";8,49
"8";"AleBrowar Lady Blanche- But. 0,5l";"alebrowar";"pszeniczne";4,5;12;"top";7,29
"9";"AleBrowar Let’s Surf – But. 0,5l";"alebrowar";"ale";2,8;9;"top";8,99
"10";"AleBrowar Mash Face – But. 0,5l";"alebrowar";"ipa";3,6;16;"top";11,49
"11";"AleBrowar Mela Mela- But. 0,5l";"alebrowar";"ale";4,1;12;"top";10,49
"12";"AleBrowar Naked Mummy- But. 0,5l";"alebrowar";"ale";6,2;16;"top";9,59
"13";"AleBrowar Rowing Jack 0,5l";"alebrowar";"ipa";6,2;16;"top";9,59
"14";"AleBrowar Saint No More – But. 0,5l";"alebrowar";"stout";6,2;16;"top";29,99
"15";"AleBrowar Saint No More Simcoe 0,5l";"alebrowar";"ipa";6,2;16;"top";9,69
"16";"AleBrowar Spicy Mummy – But. 0,5l";"alebrowar";"ale";4,2;16;"top";11,49
"17";"AleBrowar Sweet Cow Churros 0,5l";"alebrowar";"stout";6,5;24;"top";14,99
"18";"AleBrowar Sweet Cow Raspberry 0,5l";"alebrowar";"stout";6,5;24;"top";14,99
"19";"AleBrowar Vlad is Glad – But. 0,5l";"alebrowar";"stout";10;30;"top";22,99
"20";"AleBrowar World of IPA Brut 0,5l";"alebrowar";"ipa";7,7;16;"top";12,99
"21";"AleBrowar World of IPA East Coast 0,5l";"alebrowar";"ipa";6,6;18;"top";12,99
"22";"AleBrowar World of IPA Hazy West Coast Pacific";"alebrowar";"ipa";5,5;16;"top";12,99
"23";"AleBrowar World of IPA Japan 0,5l";"alebrowar";"ipa";6,2;16;"top";12,99
"24";"AleBrowar World of IPA Polish 0,5l";"alebrowar";"ipa";6,6;16;"top";10,69
"25";"AleBrowar World of IPA RPA 0,5l puszka";"alebrowar";"ipa";4,6;14;"top";12,99
"26";"AleBrowar World of IPA Vermont 0,5l puszka";"alebrowar";"ipa";4,6;14;"top";13
"27";"Amber APA- American Pale Ale-  0,5l";"amber";"apa";5,2;12,1;"top";6,49
"28";"Amber India Pale Ale 500 ml – puszka";"amber";"ipa";5,8;14,5;"top";7,49
"29";"Amber Pszeniczniak – But. 0,5l";"amber";"pszeniczne";5,2;12,1;"top";6,49
"30";"Artezan Zegarki Błonie – But. 0,5l";"artezan";"pils";5;12;"bottom";9,99
"31";"Bestbir Ananasowy– But. 0,5l";"staropolski";"lager";4,7;10;"bottom";5,89
"32";"Bestbir Cytryna- – But. 0,5l";"staropolski";"lager";4,7;10;"bottom";5,89
"33";"Bestbir Czekolada z Pomarańczą-But. 0,5l";"staropolski";"lager";4,7;10;"bottom";5,89
"34";"Bestbir Dzika Róża- But. 0,5l";"staropolski";"lager";4,7;10;"bottom";5,89
"35";"Bestbir Gruszka z Melisą-But. 0,5l";"staropolski";"lager";4,7;10;"bottom";5,89
"36";"Bestbir Imbir z Miodem- But. 0,5l";"staropolski";"lager";4,7;10;"bottom";5,89
"37";"Bestbir Kokosowy– But. 0,5l";"staropolski";"lager";4,7;10;"bottom";5,89
"38";"Bestbir Letnia Śliwka- But.0,5l";"staropolski";"lager";4,7;10;"bottom";5,89
"39";"Bestbir Malina Pigwa- But. 0,5l";"staropolski";"lager";4,7;10;"bottom";5,89
"40";"Bestbir Męski lager – But. 0,5l";"staropolski";"lager";6,1;12;"bottom";5,49
"41";"Bestbir Miód Cytryna- But .0,5l";"staropolski";"lager";4,7;10;"bottom";5,89
"42";"Bestbir Pacific Brzoskwinia- But. 0,5l";"staropolski";"lager";4,7;11;"bottom";5,89
"43";"Bestbir Pacific Mango Ananas-But. 0,5l";"staropolski";"pszeniczne";4,7;11;"top";5,89
"44";"Bestbir Pieczone Jabłko-But.0,5l";"staropolski";"lager";4,7;10;"bottom";5,89
"45";"Bestbir PUSZKA Malina & Pigwa-0,5l puszka";"staropolski";"lager";4,7;10;"bottom";5,49
"46";"Birbant 7 Bridges 0,5l puszka";"birbant";"ipa";8,1;21;"top";16,69
"47";"Birbant 7 Dreams 0,5l puszka";"birbant";"ipa";7,4;19;"top";14,49
"48";"Birbant 7 Heaven – 0,5l puszka";"birbant";"ipa";6;16,5;"top";13,49
"49";"Birbant 7:24 330 ml puszka";"birbant";"stout";10,5;24;"top";17,99
"50";"Birbant 777 — 500 ml puszka";"alebrowar";"ipa";8,7;21;"top";32,39
